00021,2017-12,0.197,-0.03,0.3,0.172,0.01,0.07,-2.26,0.01,0.07,0.21,-0.14,0.15
00021,2018-06,0.186,-0.06,1.78,0.189,-0.14,0.15,0.21,-0.14,0.15,1.26,-0.08,1.83
00022,2015-09,0.295,0.14,45.19,0.217,-0.19,5.99,2.584,-0.19,5.99,2.73,-0.05,0.81
00022,2016-03,0.246,0.0,3.02,0.2,-0.05,0.81,2.73,-0.05,0.81,0.726,0.04,2.63
00022,2016-09,0.219,0.07,0.88,0.219,0.04,2.63,0.726,0.04,2.63,-0.04,0.05,3.89
00022,2017-03,0.233,-0.01,2.05,0.231,0.05,3.89,-0.04,0.05,3.89,-0.05,-0.01,2.13
00022,2017-09,0.31,0.02,5.35,0.3,-0.01,2.13,-0.05,-0.01,2.13,-0.01,0.0,1.7
00024,2015-12,0.25,-0.14,18.85,0.255,-0.01,10.63,-2.57,-0.01,10.63,-0.08,0.01,17.78
00024,2016-06,0.215,0.0,24.79,0.245,0.01,17.78,-0.08,0.01,17.78,-4.12,0.03,8.7
00024,2016-12,0.202,-0.04,8.2,0.17,0.03,8.7,-4.12,0.03,8.7,2.49,0.1,19.03
00024,2017-06,0.158,-0.04,5.05,0.155,0.1,19.03,2.49,0.1,19.03,-0.15,0.12,23.38
00024,2017-12,0.198,0.08,15.47,0.26,0.12,23.38,-0.15,0.12,23.38,0.85,-0.08,20.34
00024,2018-06,0.26,0.07,17.96,0.26,-0.08,20.34,0.85,-0.08,20.34,-2.16,-0.04,8.28
00025,2015-09,9.9469,1.42,2.11,10.183,-1.31,1.66,68.0,-1.31,1.66,105.0,-0.87,0.32
00025,2016-03,10.1912,-0.24,0.74,8.9832,-0.87,0.32,105.0,-0.87,0.32,63.0,0.35,0.81
00025,2016-09,9.6249,0.07,0.61,9.8655,0.35,0.81,63.0,0.35,0.81,179.0,0.45,0.45
00025,2017-03,10.0077,-0.28,0.48,10.0925,0.45,0.45,179.0,0.45,0.45,199.0,1.34,1.99
00025,2017-09,10.33,0.62,1.19,10.7201,1.34,1.99,199.0,1.34,1.99,301.0,-0.95,0.5
00025,2018-03,12.2151,0.02,0.64,11.9242,-0.95,0.5,301.0,-0.95,0.5,64.0,-0.66,0.33
00026,2015-12,64.9856,-8.8699,0.0,67.3026,0.3285,0.0,244.0,0.3285,0.0,771.0,3.5629,0.0
00026,2016-06,61.0692,-5.4283,0.0,64.8447,3.5629,0.0,771.0,3.5629,0.0,678.0,12.7633,3.44
00026,2016-12,67.4403,0.8535,0.0,70.8511,12.7633,3.44,678.0,12.7633,3.44,1386.0,-2.0885,0.84
