0.86,-0.29,13.11,0.78,-0.02,4.16,-2.58,-0.02,4.16,0.05,0.03,2.97
0.7,-0.55,7.45,0.99,0.48,16.68,-19.0,0.48,16.68,5.0,-0.32,17.78
1.17,-0.17,8.89,0.7,-0.32,17.78,5.0,-0.32,17.78,5.5,-0.28,19.86
0.62,-0.35,14.34,0.305,-0.28,19.86,5.5,-0.28,19.86,3.5,0.03,8.73
0.3,0.01,10.82,0.305,0.03,8.73,3.5,0.03,8.73,4.8,-0.17,6.04
0.295,0.08,10.94,0.265,-0.17,6.04,4.8,-0.17,6.04,1.4,0.0,2.29
0.255,0.03,4.1,0.23,0.0,2.29,1.4,0.0,2.29,-21.07,0.04,25.27
0.405,-0.9,23.7,0.81,0.1,16.79,-17.18,0.1,16.79,-0.04,0.02,1.86
0.49,-0.42,4.51,0.56,0.02,1.86,-0.04,0.02,1.86,-3.3,-0.17,1.55
0.64,0.18,2.27,0.62,-0.17,1.55,-3.3,-0.17,1.55,-3.72,0.08,3.62
0.6,0.02,2.13,0.69,0.08,3.62,-3.72,0.08,3.62,-8.11,-0.01,1.67
0.66,-0.04,1.81,0.69,-0.01,1.67,-8.11,-0.01,1.67,-5.26,0.12,7.97
0.5,-0.18,2.95,0.56,0.12,7.97,-5.26,0.12,7.97,-11.69,0.07,0.81
18.0787,2.77,47.22,20.1685,-1.39,39.37,71.2,-1.39,39.37,126.8,2.59,61.81
18.7499,-0.73,45.47,20.0821,2.59,61.81,126.8,2.59,61.81,161.1,10.26,18.59
19.4802,1.15,10.8,22.6479,10.26,18.59,161.1,10.26,18.59,241.5,0.25,9.32
0.68,0.44,158.26,0.82,3.08,271.13,-2.01,3.08,271.13,-0.83,-0.9,21.4
1.43,-1.4,127.0,2.05,-0.9,21.4,-0.83,-0.9,21.4,-4.47,0.66,90.35
1.11,-0.83,16.39,1.2,0.66,90.35,-4.47,0.66,90.35,-7.64,0.25,20.58
1.61,-0.12,13.16,1.25,0.25,20.58,-7.64,0.25,20.58,-0.041,-1.15,245.92
1.43,-0.56,31.31,0.19,-1.15,245.92,-0.041,-1.15,245.92,-0.76,-0.06,22.92
0.23,0.11,62.91,0.32,-0.06,22.92,-0.76,-0.06,22.92,-14.19,0.02,9.85
0.23,-0.29,15.51,0.405,-0.04,6.89,-0.86,-0.04,6.89,0.25,-0.18,2.58
0.25,0.03,2.77,0.295,-0.18,2.58,0.25,-0.18,2.58,-0.4,0.15,33.41
0.295,0.04,5.58,0.315,0.15,33.41,-0.4,0.15,33.41,0.18,-0.1,1.71
0.315,-0.05,0.87,0.275,-0.1,1.71,0.18,-0.1,1.71,0.1,0.03,10.37
0.27,0.07,5.19,0.335,0.03,10.37,0.1,0.03,10.37,0.02,-0.17,3.98
0.26,0.07,5.62,0.26,-0.17,3.98,0.02,-0.17,3.98,-0.43,-0.12,4.38
1.45,-0.95,6.65,1.61,0.81,12.81,12.0,0.81,12.81,6.0,0.32,5.31
1.8,-0.05,5.2,2.31,0.32,5.31,6.0,0.32,5.31,18.0,-0.48,17.01
2.65,1.37,13.15,3.3,-0.48,17.01,18.0,-0.48,17.01,10.0,-2.48,59.02
3.58,2.98,28.5,3.79,-2.48,59.02,10.0,-2.48,59.02,28.0,-0.16,42.0
3.91,1.04,54.05,4.35,-0.16,42.0,28.0,-0.16,42.0,14.0,-0.4,15.42
4.5,0.12,35.19,4.52,-0.4,15.42,14.0,-0.4,15.42,35.0,-0.45,7.32
8.0593,-4.67,1.75,8.1951,1.52,2.94,-18.0,1.52,2.94,21.0,3.44,2.84
7.4435,-1.56,2.08,8.014,3.44,2.84,21.0,3.44,2.84,997.0,-0.02,2.14
11.1936,1.34,2.58,12.7452,-0.02,2.14,997.0,-0.02,2.14,113.0,2.84,8.44
12.8745,2.66,3.63,15.3866,2.84,8.44,113.0,2.84,8.44,424.0,-0.96,2.55
16.845,-1.46,5.42,14.8133,-0.96,2.55,424.0,-0.96,2.55,173.0,-1.56,1.5
13.3142,-1.72,2.56,12.92,-1.56,1.5,173.0,-1.56,1.5,237.0,-0.48,1.36
4.7439,-2.66,14.22,4.7258,0.06,14.79,43.6,0.06,14.79,19.4,-0.63,10.04
4.0183,0.02,12.92,4.1223,-0.63,10.04,19.4,-0.63,10.04,41.1,0.38,15.22
4.2066,1.03,15.43,4.9111,0.38,15.22,41.1,0.38,15.22,16.9,1.98,14.08
5.5368,0.2,13.02,5.9824,1.98,14.08,16.9,1.98,14.08,34.7,-0.17,12.92
6.4121,-1.02,12.09,5.8137,-0.17,12.92,34.7,-0.17,12.92,26.5,3.0,26.72
6.438,-0.15,19.84,6.477,3.0,26.72,26.5,3.0,26.72,50.4,0.06,13.97
2.6805,-2.2,10.53,3.0239,1.44,12.57,21.0,1.44,12.57,28.6,0.47,5.0
3.1384,-0.85,4.74,3.3769,0.47,5.0,28.6,0.47,5.0,87.0,-0.45,6.93
3.9585,3.04,18.22,6.0536,-0.45,6.93,87.0,-0.45,6.93,63.1,3.21,9.72
6.6426,4.47,14.41,10.099,3.21,9.72,63.1,3.21,9.72,152.0,0.87,9.4
13.7203,2.32,9.27,14.9048,0.87,9.4,152.0,0.87,9.4,81.1,2.36,16.69
